Body Regions;A01
Hydrolyzable Tannins;D02.241.223.100.300.200.299
Propyl Gallate;D02.241.223.100.300.200.600
3-Hydroxyanthranilic Acid;D02.241.223.100.300.300
Hydroxybenzoate Ethers;D02.241.223.100.300.350
Hexobendine;D02.241.223.100.300.350.500
Metoclopramide;D02.241.223.100.300.350.625
Propoxycaine;D02.241.223.100.300.350.687
Trimebutine;D02.241.223.100.300.350.750
Vanillic Acid;D02.241.223.100.300.350.875
Hydroxymercuribenzoates;D02.241.223.100.300.400
Pactamycin;D02.241.223.100.300.450
Parabens;D02.241.223.100.300.460
Salicylates;D02.241.223.100.300.595
Aminosalicylic Acids;D02.241.223.100.300.595.100
Aminosalicylic Acid;D02.241.223.100.300.595.100.060
Mesalamine;D02.241.223.100.300.595.100.540
Dicamba;D02.241.223.100.300.595.202
Gentisates;D02.241.223.100.300.595.405
Salicylic Acid;D02.241.223.100.300.595.608
Sodium Salicylate;D02.241.223.100.300.595.608.500
Iodobenzoates;D02.241.223.100.400
Triiodobenzoic Acids;D02.241.223.100.400.880
Acetrizoic Acid;D02.241.223.100.400.880.020
Diatrizoate;D02.241.223.100.400.880.270
Diatrizoate Meglumine;D02.241.223.100.400.880.270.500
Iodamide;D02.241.223.100.400.880.375
Iodipamide;D02.241.223.100.400.880.380
Ioglycamic Acid;D02.241.223.100.400.880.390
Iohexol;D02.241.223.100.400.880.400
Iopamidol;D02.241.223.100.400.880.410
Iothalamic Acid;D02.241.223.100.400.880.430
Iothalamate Meglumine;D02.241.223.100.400.880.430.500
Ioxaglic Acid;D02.241.223.100.400.880.450
Metrizamide;D02.241.223.100.400.880.520
Metrizoic Acid;D02.241.223.100.400.880.530
Mercuribenzoates;D02.241.223.100.500
Chloromercuribenzoates;D02.241.223.100.500.261
p-Chloromercuribenzoic Acid;D02.241.223.100.500.261.275
Hydroxymercuribenzoates;D02.241.223.100.500.450
Nitrobenzoates;D02.241.223.100.600
Dithionitrobenzoic Acid;D02.241.223.100.600.300
Cinnamates;D02.241.223.200
Caffeic Acids;D02.241.223.200.054
Eugenol;D02.241.223.200.054.500
Chlorogenic Acid;D02.241.223.200.185
Cinanserin;D02.241.223.200.200
Coumaric Acids;D02.241.223.200.210
Puromycin;D02.241.223.200.380
Puromycin Aminonucleoside;D02.241.223.200.380.650
Cyclohexanecarboxylic Acids;D02.241.223.268
Abscisic Acid;D02.241.223.268.034
Aurintricarboxylic Acid;D02.241.223.268.070
Chlorogenic Acid;D02.241.223.268.220
Chorismic Acid;D02.241.223.268.250
Dicyclomine;D02.241.223.268.300
Gabapentin;D02.241.223.268.469
Quinic Acid;D02.241.223.268.637
Shikimic Acid;D02.241.223.268.792
Tilidine;D02.241.223.268.825
Tranexamic Acid;D02.241.223.268.860
Mandelic Acids;D02.241.223.475
Cyclandelate;D02.241.223.475.180
Vanilmandelic Acid;D02.241.223.475.730
Phenylacetates;D02.241.223.601
Cyclopentolate;D02.241.223.601.200
Diclofenac;D02.241.223.601.210
3,4-Dihydroxyphenylacetic Acid;D02.241.223.601.220
Diphenylacetic Acids;D02.241.223.601.238
Benzilates;D02.241.223.601.238.306
Benactyzine;D02.241.223.601.238.306.140
Quinuclidinyl Benzilate;D02.241.223.601.238.306.740
Guanfacine;D02.241.223.601.329
Halofenate;D02.241.223.601.375
Homogentisic Acid;D02.241.223.601.421
Homovanillic Acid;D02.241.223.601.521
Methylphenidate;D02.241.223.601.600
Dexmethylphenidate Hydrochloride;D02.241.223.601.600.500
Propanidid;D02.241.223.601.774
Phenylbutyrates;D02.241.223.651
Phenylpropionates;D02.241.223.701
Fenoprofen;D02.241.223.701.350
Ibuprofen;D02.241.223.701.430
Indoprofen;D02.241.223.701.450
Ketoprofen;D02.241.223.701.480
Suprofen;D02.241.223.701.700
Phenylpyruvic Acids;D02.241.223.751
Phthalic Acids;D02.241.223.805
Dibutyl Phthalate;D02.241.223.805.225
Diethylhexyl Phthalate;D02.241.223.805.250
o-Phthalaldehyde;D02.241.223.805.780
Phthalic Anhydrides;D02.241.223.805.800
Phthalimides;D02.241.223.805.810
Lenalidomide;D02.241.223.805.810.400
Thalidomide;D02.241.223.805.810.800
Esters;D02.241.400
Humic Substances;D02.241.444
Hydroxy Acids;D02.241.511
Benzilates;D02.241.511.085
Benactyzine;D02.241.511.085.140
Quinuclidinyl Benzilate;D02.241.511.085.740
Glycolates;D02.241.511.316
Halofenate;D02.241.511.316.455
Meclofenoxate;D02.241.511.316.495
Phenoxyacetates;D02.241.511.316.682
2,4-Dichlorophenoxyacetic Acid;D02.241.511.316.682.149
Agent Orange;D02.241.511.316.682.149.500
Ethacrynic Acid;D02.241.511.316.682.200
2-Methyl-4-chlorophenoxyacetic Acid;D02.241.511.316.682.224
2,4,5-Trichlorophenoxyacetic Acid;D02.241.511.316.682.800
Agent Orange;D02.241.511.316.682.800.500
Ticrynafen;D02.241.511.316.682.900
Hydroxamic Acids;D02.241.511.372
Bufexamac;D02.241.511.372.150
Deferoxamine;D02.241.511.372.265
Ferrichrome;D02.241.511.372.380
Panobinostat;D02.241.511.372.535
Vorinostat;D02.241.511.372.690
Hydroxybenzoates;D02.241.511.390
Depsides;D02.241.511.390.100
Gallic Acid;D02.241.511.390.200
Hydrolyzable Tannins;D02.241.511.390.200.299
Propyl Gallate;D02.241.511.390.200.600
3-Hydroxyanthranilic Acid;D02.241.511.390.300
Hydroxybenzoate Ethers;D02.241.511.390.350
Hexobendine;D02.241.511.390.350.500
Metoclopramide;D02.241.511.390.350.625
Propoxycaine;D02.241.511.390.350.687
Trimebutine;D02.241.511.390.350.750
Vanillic Acid;D02.241.511.390.350.875
Hydroxymercuribenzoates;D02.241.511.390.400
Pactamycin;D02.241.511.390.450
Parabens;D02.241.511.390.460
Salicylates;D02.241.511.390.595
Aminosalicylic Acids;D02.241.511.390.595.100
Aminosalicylic Acid;D02.241.511.390.595.100.060
Mesalamine;D02.241.511.390.595.100.540
Dicamba;D02.241.511.390.595.202
Gentisates;D02.241.511.390.595.405
Salicylic Acid;D02.241.511.390.595.608
Sodium Salicylate;D02.241.511.390.595.608.500
Hydroxybutyrates;D02.241.511.429
3-Hydroxybutyric Acid;D02.241.511.429.349
Sodium Oxybate;D02.241.511.429.700
Lactates;D02.241.511.459
Lactic Acid;D02.241.511.459.450
Polylactic Acid-Polyglycolic Acid Copolymer;D02.241.511.459.450.500
Sodium Lactate;D02.241.511.459.800
Malates;D02.241.511.505
Mandelic Acids;D02.241.511.536
Cyclandelate;D02.241.511.536.180
Vanilmandelic Acid;D02.241.511.536.730
Mevalonic Acid;D02.241.511.579
Mycolic Acids;D02.241.511.621
Phosphoenolpyruvate;D02.241.511.701
Quinic Acid;D02.241.511.764
Shikimic Acid;D02.241.511.852
Sugar Acids;D02.241.511.902
Ascorbic Acid;D02.241.511.902.107
Dehydroascorbic Acid;D02.241.511.902.107.260
2,3-Diketogulonic Acid;D02.241.511.902.200
Glucaric Acid;D02.241.511.902.300
Ferric Oxide, Saccharated;D02.241.511.902.300.500
Gluconates;D02.241.511.902.322
Antimony Sodium Gluconate;D02.241.511.902.322.060
Calcium Gluconate;D02.241.511.902.322.200
Glyceric Acids;D02.241.511.902.387
Diphosphoglyceric Acids;D02.241.511.902.387.388
2,3-Diphosphoglycerate;D02.241.511.902.387.388.175
Muramic Acids;D02.241.511.902.522
Neuraminic Acids;D02.241.511.902.562
Sialic Acids;D02.241.511.902.562.668
N-Acetylneuraminic Acid;D02.241.511.902.562.668.050
Cytidine Monophosphate N-Acetylneuraminic Acid;D02.241.511.902.562.668.250
Zanamivir;D02.241.511.902.562.668.775
Tartrates;D02.241.511.902.759
Tartronates;D02.241.511.902.821
Uronic Acids;D02.241.511.902.915
Glucuronates;D02.241.511.902.915.162
Glucuronic Acid;D02.241.511.902.915.162.500
Alginic Acid;D02.241.511.902.915.162.500.500
Glucuronides;D02.241.511.902.915.162.750
Hexuronic Acids;D02.241.511.902.915.400
Alginic Acid;D02.241.511.902.915.400.250
Iduronic Acid;D02.241.511.902.915.400.500
Keto Acids;D02.241.755
Acetoacetates;D02.241.755.080
Hippurates;D02.241.755.360
Aminohippuric Acids;D02.241.755.360.192
p-Aminohippuric Acid;D02.241.755.360.192.100
Iodohippuric Acid;D02.241.755.360.579
Ketoglutaric Acids;D02.241.755.465
Levulinic Acids;D02.241.755.547
Aminolevulinic Acid;D02.241.755.547.276
Oxaloacetates;D02.241.755.648
Oxaloacetic Acid;D02.241.755.648.750
Pyruvates;D02.241.755.812
Phenylpyruvic Acids;D02.241.755.812.601
Pyruvic Acid;D02.241.755.812.800
Thioctic Acid;D02.241.803
Catenanes;D02.251
DNA, Catenated;D02.251.500
Cyanates;D02.262
Thiocyanates;D02.262.775
Dioxins and Dioxin-like Compounds;D02.309
Dibenzofurans, Polychlorinated;D02.309.250
Dioxins;D02.309.500
Polychlorinated Dibenzodioxins;D02.309.500.450
Agent Orange;D02.309.500.450.500
Polychlorinated Biphenyls;D02.309.750
Aroclors;D02.309.750.500
Chlorodiphenyl (54% Chlorine);D02.309.750.500.077
Ethers;D02.355
Acetals;D02.355.071
Ethers, Cyclic;D02.355.291
Ciguatoxins;D02.355.291.205
Crown Ethers;D02.355.291.308
Epoxy Compounds;D02.355.291.411
Epichlorohydrin;D02.355.291.411.400
Ethoglucid;D02.355.291.411.408
Ethylene Oxide;D02.355.291.411.417
Mupirocin;D02.355.291.411.658
Trichloroepoxypropane;D02.355.291.411.900
Okadaic Acid;D02.355.291.705
Oxepins;D02.355.291.852
Doxepin;D02.355.291.852.500
Oxocins;D02.355.291.866
Ethoglucid;D02.355.354
Ethyl Ethers;D02.355.417
Desflurane;D02.355.417.166
Ether;D02.355.417.332
Flurothyl;D02.355.417.515
Methoxyflurane;D02.355.417.600
Phenetidine;D02.355.417.650
Glyceryl Ethers;D02.355.460
Phospholipid Ethers;D02.355.460.750
Methyl Ethers;D02.355.601
Anisoles;D02.355.601.200
Anethole Trithione;D02.355.601.200.100
Butylated Hydroxyanisole;D02.355.601.200.324
Bis(Chloromethyl) Ether;D02.355.601.250
Desflurane;D02.355.601.325
Enflurane;D02.355.601.400
Guaiacol;D02.355.601.536
Guaifenesin;D02.355.601.536.400
Methocarbamol;D02.355.601.536.400.500
Isoflurane;D02.355.601.570
Methoxyflurane;D02.355.601.620
Sevoflurane;D02.355.601.810
Phenyl Ethers;D02.355.726
Anisoles;D02.355.726.158
Anethole Trithione;D02.355.726.158.100
Butylated Hydroxyanisole;D02.355.726.158.324
Fibric Acids;D02.355.726.305
Bezafibrate;D02.355.726.305.249
Clofenapate;D02.355.726.305.374
Clofibric Acid;D02.355.726.305.500
Clofibrate;D02.355.726.305.500.195
Fenofibrate;D02.355.726.305.625
Gemfibrozil;D02.355.726.305.750
Guaiacol;D02.355.726.453
Guaifenesin;D02.355.726.453.400
Methocarbamol;D02.355.726.453.400.500
Halogenated Diphenyl Ethers;D02.355.726.601
Hydroxybenzoate Ethers;D02.355.726.675
Phenetidine;D02.355.726.750
Tiapamil Hydrochloride;D02.355.726.825
Triclosan;D02.355.726.900
Free Radicals;D02.389
Peroxides;D02.389.338
Artemisinins;D02.389.338.055
Artemether;D02.389.338.055.250
Artemether, Lumefantrine Drug Combination;D02.389.338.055.250.500
Artesunate;D02.389.338.055.500
Carbamide Peroxide;D02.389.338.154
Hydrogen Peroxide;D02.389.338.253
Lipid Peroxides;D02.389.338.450
Prostaglandin Endoperoxides;D02.389.338.638
Prostaglandins G;D02.389.338.638.600
Prostaglandins H;D02.389.338.638.650
Prostaglandin H2;D02.389.338.638.650.500
15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid;D02.389.338.638.650.500.500
Superoxides;D02.389.338.732
tert-Butylhydroperoxide;D02.389.338.825
Tetraoxanes;D02.389.338.912
Spin Labels;D02.389.678
Triacetoneamine-N-Oxyl;D02.389.678.900
Hydrazines;D02.442
Benserazide;D02.442.175
Carbidopa;D02.442.200
Hydrazones;D02.442.288
Carbonyl Cyanide m-Chlorophenyl Hydrazone;D02.442.288.200
Carbonyl Cyanide p-Trifluoromethoxyphenylhydrazone;D02.442.288.220
Simendan;D02.442.288.610
Iproniazid;D02.442.372
Isoniazid;D02.442.436
Methylhydrazines;D02.442.600
Dimethylhydrazines;D02.442.600.400
1,2-Dimethylhydrazine;D02.442.600.400.200
Monomethylhydrazine;D02.442.600.601
Phenelzine;D02.442.700
Phenylhydrazines;D02.442.726
Dithizone;D02.442.726.200
Todralazine;D02.442.925
Hydrocarbons;D02.455
Hydrocarbons, Acyclic;D02.455.326
Alkanes;D02.455.326.146
Acetogenins;D02.455.326.146.049
Alkanesulfonic Acids;D02.455.326.146.100
Alkanesulfonates;D02.455.326.146.100.050
Mesna;D02.455.326.146.100.050.490
Mesylates;D02.455.326.146.100.050.500
Busulfan;D02.455.326.146.100.050.500.100
Ethyl Methanesulfonate;D02.455.326.146.100.050.500.300
Methyl Methanesulfonate;D02.455.326.146.100.050.500.500
HEPES;D02.455.326.146.100.250
Isethionic Acid;D02.455.326.146.100.300
Taurine;D02.455.326.146.100.850
Acamprosate;D02.455.326.146.100.850.438
Taurocholic Acid;D02.455.326.146.100.850.875
Taurodeoxycholic Acid;D02.455.326.146.100.850.875.900
Taurochenodeoxycholic Acid;D02.455.326.146.100.850.875.900.875
Taurolithocholic Acid;D02.455.326.146.100.850.875.925
Butanes;D02.455.326.146.216
Butylamines;D02.455.326.146.216.500
Ethane;D02.455.326.146.379
Ethylene Dichlorides;D02.455.326.146.379.350
Fumonisins;D02.455.326.146.432
Heptanes;D02.455.326.146.485
Diarylheptanoids;D02.455.326.146.485.222
Curcumin;D02.455.326.146.485.222.222
Hexanes;D02.455.326.146.500
Methane;D02.455.326.146.571
Tetranitromethane;D02.455.326.146.571.850
Nitroparaffins;D02.455.326.146.672
Tetranitromethane;D02.455.326.146.672.800
Octanes;D02.455.326.146.720
Pentanes;D02.455.326.146.770
Propane;D02.455.326.146.800
Alkenes;D02.455.326.271
Allyl Compounds;D02.455.326.271.122
Allylamine;D02.455.326.271.122.100
Colesevelam Hydrochloride;D02.455.326.271.122.100.500
Allylglycine;D02.455.326.271.122.260
Allylisopropylacetamide;D02.455.326.271.122.272
Enediynes;D02.455.326.271.244
Zinostatin;D02.455.326.271.244.500
Ethylenes;D02.455.326.271.367
Dichloroethylenes;D02.455.326.271.367.300
Polyenes;D02.455.326.271.665
Alkadienes;D02.455.326.271.665.146
Butadienes;D02.455.326.271.665.146.240
Chloroprene;D02.455.326.271.665.146.280
Aurodox;D02.455.326.271.665.155
Carotenoids;D02.455.326.271.665.202
Abscisic Acid;D02.455.326.271.665.202.061
beta Carotene;D02.455.326.271.665.202.123
Lycopene;D02.455.326.271.665.202.216
Norisoprenoids;D02.455.326.271.665.202.309
Retinoids;D02.455.326.271.665.202.495
Acitretin;D02.455.326.271.665.202.495.050
Bexarotene;D02.455.326.271.665.202.495.150
Etretinate;D02.455.326.271.665.202.495.250
Fenretinide;D02.455.326.271.665.202.495.270
Isotretinoin;D02.455.326.271.665.202.495.325
Retinaldehyde;D02.455.326.271.665.202.495.690
Vitamin A;D02.455.326.271.665.202.495.818
Tretinoin;D02.455.326.271.665.202.495.818.500
Alitretinoin;D02.455.326.271.665.202.495.818.500.500
Xanthophylls;D02.455.326.271.665.202.868
Canthaxanthin;D02.455.326.271.665.202.868.249
Cryptoxanthins;D02.455.326.271.665.202.868.374
Beta-Cryptoxanthin;D02.455.326.271.665.202.868.374.500
Lutein;D02.455.326.271.665.202.868.500
Zeaxanthins;D02.455.326.271.665.202.868.750
zeta Carotene;D02.455.326.271.665.202.912
Diphenylhexatriene;D02.455.326.271.665.250
Filipin;D02.455.326.271.665.325
Mepartricin;D02.455.326.271.665.400
Neoprene;D02.455.326.271.665.480
Polyacetylene Polymer;D02.455.326.271.665.515
Polyethylenes;D02.455.326.271.665.550
Polyethylene;D02.455.326.271.665.550.500
Polyethyleneimine;D02.455.326.271.665.550.600
Polypropylenes;D02.455.326.271.665.590
Polyvinyls;D02.455.326.271.665.616
Squalene;D02.455.326.271.665.806
Polyunsaturated Alkamides;D02.455.326.271.690
Capsaicin;D02.455.326.271.690.222
Vinyl Compounds;D02.455.326.271.884
Polyvinyls;D02.455.326.271.884.533
Polyvinyl Alcohol;D02.455.326.271.884.533.532
Polyvinyl Chloride;D02.455.326.271.884.533.565
Polyvinylpyridine N-Oxide;D02.455.326.271.884.533.660
Povidone;D02.455.326.271.884.533.699
Povidone-Iodine;D02.455.326.271.884.533.710
Vinyl Chloride;D02.455.326.271.884.750
Alkynes;D02.455.326.397
Acetylene;D02.455.326.397.259
Carbocyanines;D02.455.326.397.300
(4-(m-Chlorophenylcarbamoyloxy)-2-butynyl)trimethylammonium Chloride;D02.455.326.397.325
Polyunsaturated Alkamides;D02.455.326.397.675
Polyynes;D02.455.326.397.680
Diynes;D02.455.326.397.680.500
Enediynes;D02.455.326.397.680.500.500
Zinostatin;D02.455.326.397.680.500.500.500
Hydrocarbons, Cyclic;D02.455.426
Bridged-Ring Compounds;D02.455.426.100
Adamantane;D02.455.426.100.050
Amantadine;D02.455.426.100.050.035
Memantine;D02.455.426.100.050.035.500
Methenamine;D02.455.426.100.050.392
Rimantadine;D02.455.426.100.050.750
Bridged Bicyclo Compounds;D02.455.426.100.080
Biperiden;D02.455.426.100.080.100
Hydrocarbons, Alicyclic;D02.455.426.392
Cycloparaffins;D02.455.426.392.368
Adamantane;D02.455.426.392.368.075
Rimantadine;D02.455.426.392.368.075.750
Cyclitols;D02.455.426.392.368.138
Cyclobutanes;D02.455.426.392.368.201
Cyclodecanes;D02.455.426.392.368.242
Taxoids;D02.455.426.392.368.242.888
Docetaxel;D02.455.426.392.368.242.888.389
Paclitaxel;D02.455.426.392.368.242.888.777
Albumin-Bound Paclitaxel;D02.455.426.392.368.242.888.777.500
Cycloheptanes;D02.455.426.392.368.284
Azulenes;D02.455.426.392.368.284.049
Bencyclane;D02.455.426.392.368.284.100
Sesquiterpenes, Guaiane;D02.455.426.392.368.284.500
Thapsigargin;D02.455.426.392.368.284.500.888
Tropolone;D02.455.426.392.368.284.900
Cyclohexanes;D02.455.426.392.368.367
Ciclopirox;D02.455.426.392.368.367.095
Cuprizone;D02.455.426.392.368.367.190
Cyclamates;D02.455.426.392.368.367.204
Cyclohexanecarboxylic Acids;D02.455.426.392.368.367.218
Gabapentin;D02.455.426.392.368.367.218.500
Cyclohexanols;D02.455.426.392.368.367.318
Desvenlafaxine Succinate;D02.455.426.392.368.367.318.500
Eucalyptol;D02.455.426.392.368.367.318.625
Venlafaxine Hydrochloride;D02.455.426.392.368.367.318.750
Cyclohexanones;D02.455.426.392.368.367.340
Cyclohexenes;D02.455.426.392.368.367.379
Carotenoids;D02.455.426.392.368.367.379.249
Abscisic Acid;D02.455.426.392.368.367.379.249.024
beta Carotene;D02.455.426.392.368.367.379.249.050
Lycopene;D02.455.426.392.368.367.379.249.213
Norisoprenoids;D02.455.426.392.368.367.379.249.375
Retinoids;D02.455.426.392.368.367.379.249.700
Bexarotene;D02.455.426.392.368.367.379.249.700.135
Fenretinide;D02.455.426.392.368.367.379.249.700.270
Isotretinoin;D02.455.426.392.368.367.379.249.700.325
Retinaldehyde;D02.455.426.392.368.367.379.249.700.690
Vitamin A;D02.455.426.392.368.367.379.249.700.860
Tretinoin;D02.455.426.392.368.367.379.249.700.860.500
Alitretinoin;D02.455.426.392.368.367.379.249.700.860.500.500
Xanthophylls;D02.455.426.392.368.367.379.249.887
Canthaxanthin;D02.455.426.392.368.367.379.249.887.249
Cryptoxanthins;D02.455.426.392.368.367.379.249.887.374
Beta-Cryptoxanthin;D02.455.426.392.368.367.379.249.887.374.500
Lutein;D02.455.426.392.368.367.379.249.887.500
Zeaxanthins;D02.455.426.392.368.367.379.249.887.750
zeta Carotene;D02.455.426.392.368.367.379.249.925
Chorismic Acid;D02.455.426.392.368.367.379.374
Limonene;D02.455.426.392.368.367.379.437
Oseltamivir;D02.455.426.392.368.367.379.500
Shikimic Acid;D02.455.426.392.368.367.379.750
Cyclohexylamines;D02.455.426.392.368.367.418
Dicyclomine;D02.455.426.392.368.367.440
Ketamine;D02.455.426.392.368.367.652
Maraviroc;D02.455.426.392.368.367.726
Nateglinide;D02.455.426.392.368.367.745
O-(Chloroacetylcarbamoyl)fumagillol;D02.455.426.392.368.367.763
Picrotoxin;D02.455.426.392.368.367.800
Tiletamine;D02.455.426.392.368.367.850
trans-1,4-Bis(2-chlorobenzaminomethyl)cyclohexane Dihydrochloride;D02.455.426.392.368.367.900
Cyclooctanes;D02.455.426.392.368.408
Iprindole;D02.455.426.392.368.408.333
Cyclopentanes;D02.455.426.392.368.450
Cycloleucine;D02.455.426.392.368.450.350
Cyclopropanes;D02.455.426.392.368.533
Cilastatin;D02.455.426.392.368.533.200
Cilastatin, Imipenem Drug Combination;D02.455.426.392.368.533.200.500
Hypoglycins;D02.455.426.392.368.533.450
Milnacipran;D02.455.426.392.368.533.725
Levomilnacipran;D02.455.426.392.368.533.725.500
Hydrocarbons, Aromatic;D02.455.426.559
Benzene Derivatives;D02.455.426.559.389
Benzene;D02.455.426.559.389.023
Benzeneacetamides;D02.455.426.559.389.048
Bufexamac;D02.455.426.559.389.048.088
Benzenesulfonates;D02.455.426.559.389.097
Calcium Dobesilate;D02.455.426.559.389.097.120
4-Chloromercuribenzenesulfonate;D02.455.426.559.389.097.150
1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt;D02.455.426.559.389.097.175
Ethamsylate;D02.455.426.559.389.097.250
Ferrozine;D02.455.426.559.389.097.280
Polyanetholesulfonate;D02.455.426.559.389.097.675
Benzhydryl Compounds;D02.455.426.559.389.115
Diphenhydramine;D02.455.426.559.389.115.250
Dimenhydrinate;D02.455.426.559.389.115.250.250
Meclizine;D02.455.426.559.389.115.475
Methylenebis(chloroaniline);D02.455.426.559.389.115.500
Modafinil;D02.455.426.559.389.115.550
Orphenadrine;D02.455.426.559.389.115.600
Terfenadine;D02.455.426.559.389.115.800
Tolterodine Tartrate;D02.455.426.559.389.115.900
Benzoates;D02.455.426.559.389.127
Aminobenzoates;D02.455.426.559.389.127.020
meta-Aminobenzoates;D02.455.426.559.389.127.020.452
Acetrizoic Acid;D02.455.426.559.389.127.020.452.249
Bumetanide;D02.455.426.559.389.127.020.452.500
Mesalamine;D02.455.426.559.389.127.020.452.750
ortho-Aminobenzoates;D02.455.426.559.389.127.020.906
3-Hydroxyanthranilic Acid;D02.455.426.559.389.127.020.906.249
Fenamates;D02.455.426.559.389.127.020.906.750
Flufenamic Acid;D02.455.426.559.389.127.020.906.750.249
Meclofenamic Acid;D02.455.426.559.389.127.020.906.750.500
Mefenamic Acid;D02.455.426.559.389.127.020.906.750.555
Niflumic Acid;D02.455.426.559.389.127.020.906.750.777
Glafenine;D02.455.426.559.389.127.020.906.875
para-Aminobenzoates;D02.455.426.559.389.127.020.937
Acecainide;D02.455.426.559.389.127.020.937.625
4-Aminobenzoic Acid;D02.455.426.559.389.127.020.937.640
Aminosalicylic Acid;D02.455.426.559.389.127.020.937.642
Ethopabate;D02.455.426.559.389.127.020.937.645
Metoclopramide;D02.455.426.559.389.127.020.937.647
p-Aminohippuric Acid;D02.455.426.559.389.127.020.937.650
Benzocaine;D02.455.426.559.389.127.020.937.687
Cisapride;D02.455.426.559.389.127.020.937.700
Procainamide;D02.455.426.559.389.127.020.937.875
Procaine;D02.455.426.559.389.127.020.937.906
Penicillin G Procaine;D02.455.426.559.389.127.020.937.906.666
Propoxycaine;D02.455.426.559.389.127.020.937.937
Tetracaine;D02.455.426.559.389.127.020.937.968
Benzamides;D02.455.426.559.389.127.085
Acecainide;D02.455.426.559.389.127.085.033
Aminohippuric Acids;D02.455.426.559.389.127.085.067
p-Aminohippuric Acid;D02.455.426.559.389.127.085.067.100
Amisulpride;D02.455.426.559.389.127.085.084
Axitinib;D02.455.426.559.389.127.085.093
Bezafibrate;D02.455.426.559.389.127.085.101
Cisapride;D02.455.426.559.389.127.085.135
DEET;D02.455.426.559.389.127.085.230
Dinitolmide;D02.455.426.559.389.127.085.240
Hippurates;D02.455.426.559.389.127.085.460
Iodohippuric Acid;D02.455.426.559.389.127.085.460.500
Imatinib Mesylate;D02.455.426.559.389.127.085.465
Indoramin;D02.455.426.559.389.127.085.470
Metoclopramide;D02.455.426.559.389.127.085.510
Moclobemide;D02.455.426.559.389.127.085.600
Procainamide;D02.455.426.559.389.127.085.650
Procarbazine;D02.455.426.559.389.127.085.655
Raclopride;D02.455.426.559.389.127.085.761
Remoxipride;D02.455.426.559.389.127.085.796
Sulpiride;D02.455.426.559.389.127.085.866
Tiapride Hydrochloride;D02.455.426.559.389.127.085.933
Benzoic Acid;D02.455.426.559.389.127.117
Sodium Benzoate;D02.455.426.559.389.127.117.500
Benzoyl Peroxide;D02.455.426.559.389.127.133
Adapalene, Benzoyl Peroxide Drug Combination;D02.455.426.559.389.127.133.500
Benzoylcholine;D02.455.426.559.389.127.141
Bromobenzoates;D02.455.426.559.389.127.150
Remoxipride;D02.455.426.559.389.127.150.500
Chlorobenzoates;D02.455.426.559.389.127.250
Bezafibrate;D02.455.426.559.389.127.250.249
Chloromercuribenzoates;D02.455.426.559.389.127.250.311
p-Chloromercuribenzoic Acid;D02.455.426.559.389.127.250.311.275
Cisapride;D02.455.426.559.389.127.250.374
Dicamba;D02.455.426.559.389.127.250.500
Metoclopramide;D02.455.426.559.389.127.250.750
Moclobemide;D02.455.426.559.389.127.250.875
Raclopride;D02.455.426.559.389.127.250.937
Deferasirox;D02.455.426.559.389.127.266
Hydroxybenzoates;D02.455.426.559.389.127.281
Depsides;D02.455.426.559.389.127.281.100
Gallic Acid;D02.455.426.559.389.127.281.200
Hydrolyzable Tannins;D02.455.426.559.389.127.281.200.299
Propyl Gallate;D02.455.426.559.389.127.281.200.600
Hydroxybenzoate Ethers;D02.455.426.559.389.127.281.350
Hexobendine;D02.455.426.559.389.127.281.350.500
Metoclopramide;D02.455.426.559.389.127.281.350.625
Propoxycaine;D02.455.426.559.389.127.281.350.687
Trimebutine;D02.455.426.559.389.127.281.350.750
Vanillic Acid;D02.455.426.559.389.127.281.350.875
Hydroxymercuribenzoates;D02.455.426.559.389.127.281.400
Pactamycin;D02.455.426.559.389.127.281.450
Parabens;D02.455.426.559.389.127.281.460
Salicylates;D02.455.426.559.389.127.281.595
Aminosalicylic Acids;D02.455.426.559.389.127.281.595.100
Aminosalicylic Acid;D02.455.426.559.389.127.281.595.100.060
Mesalamine;D02.455.426.559.389.127.281.595.100.540
Dicamba;D02.455.426.559.389.127.281.595.202
Gentisates;D02.455.426.559.389.127.281.595.405
Salicylic Acid;D02.455.426.559.389.127.281.595.608
Sodium Salicylate;D02.455.426.559.389.127.281.595.608.500
Iodobenzoates;D02.455.426.559.389.127.375
Triiodobenzoic Acids;D02.455.426.559.389.127.375.880
Acetrizoic Acid;D02.455.426.559.389.127.375.880.020
Diatrizoate;D02.455.426.559.389.127.375.880.270
Diatrizoate Meglumine;D02.455.426.559.389.127.375.880.270.500
Iodamide;D02.455.426.559.389.127.375.880.375
Iodipamide;D02.455.426.559.389.127.375.880.380
Ioglycamic Acid;D02.455.426.559.389.127.375.880.390
Iohexol;D02.455.426.559.389.127.375.880.400
Iopamidol;D02.455.426.559.389.127.375.880.410
Iothalamate Meglumine;D02.455.426.559.389.127.375.880.420
Iothalamic Acid;D02.455.426.559.389.127.375.880.430
Ioxaglic Acid;D02.455.426.559.389.127.375.880.450
Metrizamide;D02.455.426.559.389.127.375.880.520
Metrizoic Acid;D02.455.426.559.389.127.375.880.530
Mercuribenzoates;D02.455.426.559.389.127.500
